Select,CRN,Course,Course number,section,campus,credits,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date,Location,Attribute
NR	,10621	,CSC	,201	,11	,1	,1.000	,Computer Applications	,M	,09:00 am-09:50 am	,25	,5	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10622	,CSC	,201	,12	,1	,1.000	,Computer Applications	,M	,10:00 am-10:50 am	,25	,4	,21	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10623	,CSC	,201	,13	,1	,1.000	,Computer Applications	,M	,11:00 am-11:50 am	,25	,5	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10624	,CSC	,201	,14	,1	,1.000	,Computer Applications	,M	,12:00 pm-12:50 pm	,25	,14	,11	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10625	,CSC	,201	,15	,1	,1.000	,Computer Applications	,T	,09:30 am-10:20 am	,25	,8	,17	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10626	,CSC	,201	,16	,1	,1.000	,Computer Applications	,T	,11:00 am-11:50 am	,25	,7	,18	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10627	,CSC	,201	,17	,1	,1.000	,Computer Applications	,W	,09:00 am-09:50 am	,25	,8	,17	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10628	,CSC	,201	,18	,1	,1.000	,Computer Applications	,W	,10:00 am-10:50 am	,25	,3	,22	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10629	,CSC	,201	,19	,1	,1.000	,Computer Applications	,W	,11:00 am-11:50 am	,25	,1	,24	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10630	,CSC	,201	,20	,1	,1.000	,Computer Applications	,W	,12:00 pm-12:50 pm	,25	,11	,14	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10631	,CSC	,201	,21	,1	,1.000	,Computer Applications	,R	,09:30 am-10:20 am	,25	,3	,22	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10632	,CSC	,201	,22	,1	,1.000	,Computer Applications	,R	,11:00 am-11:50 am	,25	,2	,23	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10633	,CSC	,201	,23	,1	,1.000	,Computer Applications	,F	,09:00 am-09:50 am	,25	,0	,25	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10634	,CSC	,201	,24	,1	,1.000	,Computer Applications	,F	,10:00 am-10:50 am	,25	,0	,25	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10635	,CSC	,201	,25	,1	,1.000	,Computer Applications	,F	,11:00 am-11:50 am	,25	,2	,23	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10636	,CSC	,201	,26	,1	,1.000	,Computer Applications	,F	,12:00 pm-12:50 pm	,25	,3	,22	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,101 309	,	
NR	,10637	,CSC	,201	,31	,2	,1.000	,Computer Applications	,M	,03:00 pm-03:50 pm	,18	,6	,12	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10638	,CSC	,201	,32	,2	,1.000	,Computer Applications	,W	,03:00 pm-03:50 pm	,18	,6	,12	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10639	,CSC	,201	,33	,2	,1.000	,Computer Applications	,M	,01:00 pm-01:50 pm	,18	,15	,3	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10640	,CSC	,201	,34	,2	,1.000	,Computer Applications	,F	,01:00 pm-01:50 pm	,18	,9	,9	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10641	,CSC	,201	,35	,2	,1.000	,Computer Applications	,W	,12:00 pm-12:50 pm	,18	,4	,14	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10642	,CSC	,201	,36	,2	,1.000	,Computer Applications	,T	,11:00 am-11:50 am	,18	,10	,8	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10643	,CSC	,201	,37	,2	,1.000	,Computer Applications	,M	,12:00 pm-12:50 pm	,18	,17	,1	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 401	,	
NR	,10644	,CSC	,243	,11	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,09:00 am-09:50 am	,40	,1	,39	,15	,0	,15	,40	,2	,38	,TBA	,08/31-12/08	,103 404	,	
NR	,10645	,CSC	,243	,12	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,09:00 am-09:50 am	,40	,2	,38	,15	,0	,15	,40	,2	,38	,TBA	,08/31-12/08	,103 520	,	
NR	,10646	,CSC	,243	,13	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,11:00 am-11:50 am	,40	,3	,37	,15	,0	,15	,40	,4	,36	,TBA	,08/31-12/08	,103 502	,	
NR	,10647	,CSC	,243	,14	,1	,3.000	,Intr. Object Oriented Program.	,MWF	,11:00 am-11:50 am	,40	,0	,40	,15	,0	,15	,40	,0	,40	,TBA	,08/31-12/08	,103 520	,	
NR	,10648	,CSC	,243	,15	,1	,3.000	,Intr. Object Oriented Program.	,TR	,11:00 am-12:15 pm	,40	,4	,36	,0	,0	,0	,40	,5	,35	,TBA	,08/31-12/08	,103 502	,	
NR	,10649	,CSC	,243	,16	,1	,3.000	,Intr. Object Oriented Program.	,TR	,11:00 am-12:15 pm	,40	,2	,38	,0	,0	,0	,40	,2	,38	,TBA	,08/31-12/08	,103 520	,	
NR	,10650	,CSC	,243	,31	,2	,3.000	,Intr. Object Oriented Program.	,MWF	,01:00 pm-01:50 pm	,40	,1	,39	,15	,0	,15	,40	,1	,39	,Joseph Toufic Khalifeh (P)	,08/31-12/08	,204 0503	,	
NR	,10651	,CSC	,243	,32	,2	,3.000	,Intr. Object Oriented Program.	,TR	,02:00 pm-03:15 pm	,40	,1	,39	,0	,0	,0	,40	,3	,37	,Joseph Toufic Khalifeh (P)	,08/31-12/08	,204 0404	,	
NR	,10652	,CSC	,243B	,11A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10653	,CSC	,243B	,11B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,1	,19	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10654	,CSC	,243B	,12A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,2	,18	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10655	,CSC	,243B	,12B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10656	,CSC	,243B	,13A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,3	,17	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10657	,CSC	,243B	,13B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10658	,CSC	,243B	,14A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10659	,CSC	,243B	,14B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,02:00 pm-04:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10660	,CSC	,243B	,15A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:59 pm	,20	,4	,16	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10661	,CSC	,243B	,15B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10662	,CSC	,243B	,16A	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:59 pm	,20	,2	,18	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10663	,CSC	,243B	,16B	,1	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:59 pm	,20	,0	,20	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10664	,CSC	,243B	,31A	,2	,1.000	,Introduction to Object-Oriented Programming Lab	,F	,05:00 pm-07:50 pm	,25	,1	,24	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10665	,CSC	,243B	,31B	,2	,1.000	,Introduction to Object-Oriented Programming Lab	,F	,05:00 pm-07:50 pm	,25	,0	,25	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10666	,CSC	,243B	,32A	,2	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:50 pm	,25	,1	,24	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10667	,CSC	,243B	,32B	,2	,1.000	,Introduction to Object-Oriented Programming Lab	,R	,05:00 pm-07:50 pm	,25	,0	,25	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
C	,10668	,CSC	,245	,11	,1	,3.000	,Objects & Data Abstraction	,MWF	,11:00 am-11:50 am	,40	,29	,11	,15	,0	,15	,40	,40	,0	,TBA	,08/31-12/08	,110 1003	,	
NR	,10669	,CSC	,245	,12	,1	,3.000	,Objects & Data Abstraction	,TR	,11:00 am-12:15 pm	,40	,13	,27	,15	,0	,15	,40	,14	,26	,Khaleel Wafiq Mershad (P)	,08/31-12/08	,103 404	,	
NR	,10670	,CSC	,245	,31	,2	,3.000	,Objects & Data Abstraction	,TR	,02:00 pm-03:15 pm	,40	,14	,26	,15	,0	,15	,40	,20	,20	,Danielle Antoine Azar (P)	,08/31-12/08	,204 0503	,	
NR	,10671	,CSC	,245B	,11A	,1	,1.000	,Objects & Data Abstraction Lab	,W	,02:00 pm-04:59 pm	,20	,19	,1	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10672	,CSC	,245B	,11B	,1	,1.000	,Objects & Data Abstraction Lab	,W	,02:00 pm-04:59 pm	,20	,10	,10	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10673	,CSC	,245B	,12A	,1	,1.000	,Objects & Data Abstraction Lab	,W	,02:00 pm-04:59 pm	,20	,12	,8	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10674	,CSC	,245B	,12B	,1	,1.000	,Objects & Data Abstraction Lab	,W	,02:00 pm-04:59 pm	,20	,1	,19	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10675	,CSC	,245B	,31A	,2	,1.000	,Objects & Data Abstraction Lab	,M	,05:00 pm-07:50 pm	,25	,11	,14	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10676	,CSC	,245B	,31B	,2	,1.000	,Objects & Data Abstraction Lab	,M	,05:00 pm-07:50 pm	,25	,3	,22	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
C	,10677	,CSC	,310	,11	,1	,3.000	,Algorithms & Data Structures	,MWF	,10:00 am-10:50 am	,40	,35	,5	,15	,3	,12	,40	,40	,0	,TBA	,08/31-12/08	,110 1003	,	
C	,10678	,CSC	,310	,12	,1	,3.000	,Algorithms & Data Structures	,MWF	,01:00 pm-01:50 pm	,40	,34	,6	,15	,14	,1	,40	,40	,0	,Faisal Nabih Abu Khzam (P)	,08/31-12/08	,110 0904	,	
C	,10679	,CSC	,310	,13	,1	,3.000	,Algorithms & Data Structures	,MWF	,01:00 pm-01:50 pm	,40	,35	,5	,15	,0	,15	,40	,40	,0	,TBA	,08/31-12/08	,103 520	,	
NR	,10680	,CSC	,310	,14	,1	,3.000	,Algorithms & Data Structures	,TR	,12:30 pm-01:45 pm	,40	,16	,24	,15	,0	,15	,40	,17	,23	,TBA	,08/31-12/08	,103 417	,	
NR	,10681	,CSC	,310	,15	,1	,3.000	,Algorithms & Data Structures	,TR	,02:00 pm-03:15 pm	,40	,24	,16	,15	,0	,15	,40	,24	,16	,TBA	,08/31-12/08	,103 502	,	
NR	,10682	,CSC	,310	,31	,2	,3.000	,Algorithms & Data Structures	,TR	,11:00 am-12:15 pm	,40	,8	,32	,15	,0	,15	,40	,9	,31	,Danielle Antoine Azar (P)	,08/31-12/08	,204 0607	,	
NR	,10683	,CSC	,310	,32	,2	,3.000	,Algorithms & Data Structures	,TR	,03:30 pm-04:45 pm	,40	,26	,14	,15	,0	,15	,40	,31	,9	,Danielle Antoine Azar (P)	,08/31-12/08	,201 0405	,	
C	,10684	,CSC	,310B	,11A	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,20	,0	,10	,2	,8	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
C	,10685	,CSC	,310B	,11B	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,20	,0	,10	,3	,7	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
C	,10686	,CSC	,310B	,12A	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,20	,0	,10	,10	,0	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10687	,CSC	,310B	,12B	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,16	,4	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10688	,CSC	,310B	,13A	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,19	,1	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10689	,CSC	,310B	,13B	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,10	,10	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10690	,CSC	,310B	,14A	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,15	,5	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10691	,CSC	,310B	,14B	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,2	,18	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10692	,CSC	,310B	,15A	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,15	,5	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10693	,CSC	,310B	,15B	,1	,1.000	,Algorithms & Data Struct. Lab	,F	,05:00 pm-07:59 pm	,20	,7	,13	,10	,0	,10	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10694	,CSC	,310B	,31A	,2	,1.000	,Algorithms & Data Struct. Lab	,W	,05:00 pm-07:50 pm	,25	,4	,21	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10695	,CSC	,310B	,31B	,2	,1.000	,Algorithms & Data Struct. Lab	,W	,05:00 pm-07:50 pm	,25	,4	,21	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10696	,CSC	,310B	,32A	,2	,1.000	,Algorithms & Data Struct. Lab	,T	,05:00 pm-07:50 pm	,25	,20	,5	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10697	,CSC	,310B	,32B	,2	,1.000	,Algorithms & Data Struct. Lab	,T	,05:00 pm-07:50 pm	,25	,6	,19	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,230 402	,	
NR	,10698	,CSC	,320	,11	,1	,3.000	,Computer Organization	,MWF	,09:00 am-09:50 am	,40	,14	,26	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,103 502	,	
NR	,10699	,CSC	,320	,12	,1	,3.000	,Computer Organization	,MWF	,10:00 am-10:50 am	,40	,27	,13	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,103 502	,	
NR	,10700	,CSC	,322	,11	,1	,1.000	,Computer Organization Lab	,T	,05:00 pm-06:59 pm	,35	,11	,24	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,101 301	,	
NR	,10701	,CSC	,322	,12	,1	,1.000	,Computer Organization Lab	,F	,02:00 pm-03:59 pm	,35	,30	,5	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,101 301	,	
C	,10702	,CSC	,326	,11	,1	,3.000	,Operating Systems	,MWF	,11:00 am-11:50 am	,40	,40	,0	,15	,3	,12	,0	,0	,0	,Nadine Fawaz Abbas (P)	,08/31-12/08	,103 503	,	
	,	,	,	,	,	,	,	,M	,03:00 pm-04:59 pm	,	,	,	,	,	,	,	,	,	,TBA	,08/31-12/08	,101 301	,	
NR	,10703	,CSC	,326	,12	,1	,3.000	,Operating Systems	,MWF	,12:00 pm-12:50 pm	,40	,39	,1	,15	,5	,10	,0	,0	,0	,Nadine Fawaz Abbas (P)	,08/31-12/08	,103 304	,	
	,	,	,	,	,	,	,	,M	,03:00 pm-04:59 pm	,	,	,	,	,	,	,	,	,	,TBA	,08/31-12/08	,101 301	,	
NR	,10704	,CSC	,326	,13	,1	,3.000	,Operating Systems	,TR	,02:00 pm-03:15 pm	,40	,21	,19	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,110 1108	,	
	,	,	,	,	,	,	,	,T	,03:30 pm-05:29 pm	,	,	,	,	,	,	,	,	,	,TBA	,08/31-12/08	,101 301	,	
C	,10705	,CSC	,326	,14	,1	,3.000	,Operating Systems	,TR	,12:30 pm-01:45 pm	,40	,40	,0	,15	,3	,12	,0	,0	,0	,TBA	,08/31-12/08	,103 520	,	
	,	,	,	,	,	,	,	,T	,03:30 pm-05:29 pm	,	,	,	,	,	,	,	,	,	,TBA	,08/31-12/08	,101 301	,	
C	,10706	,CSC	,326	,31	,2	,3.000	,Operating Systems	,TR	,08:00 am-09:15 am	,40	,40	,0	,15	,4	,11	,0	,0	,0	,TBA	,08/31-12/08	,204 0502	,	
C	,10707	,CSC	,375	,11	,1	,3.000	,Database Management Systems	,MWF	,08:00 am-08:50 am	,40	,35	,5	,15	,15	,0	,40	,40	,0	,Ramzi Ahmed Haraty (P)	,08/31-12/08	,103 502	,	
C	,10708	,CSC	,375	,12	,1	,3.000	,Database Management Systems	,MWF	,09:00 am-09:50 am	,40	,39	,1	,15	,15	,0	,40	,40	,0	,Ramzi Ahmed Haraty (P)	,08/31-12/08	,110 1005	,	
NR	,10709	,CSC	,375	,13	,1	,3.000	,Database Management Systems	,TR	,08:00 am-09:15 am	,40	,6	,34	,15	,0	,15	,40	,6	,34	,Khaleel Wafiq Mershad (P)	,08/31-12/08	,103 520	,	
C	,10710	,CSC	,375	,14	,1	,3.000	,Database Management Systems	,TR	,09:30 am-10:45 am	,40	,38	,2	,15	,1	,14	,40	,40	,0	,Khaleel Wafiq Mershad (P)	,08/31-12/08	,103 520	,	
C	,10711	,CSC	,375	,31	,2	,3.000	,Database Management Systems	,TR	,09:30 am-10:45 am	,40	,32	,8	,15	,5	,10	,40	,40	,0	,Haidar Mohamad Harmanani (P)	,08/31-12/08	,201 0403	,	
C	,10712	,CSC	,430	,11	,1	,3.000	,Computer Networks	,MWF	,04:00 pm-04:50 pm	,40	,40	,0	,15	,15	,0	,0	,0	,0	,TBA	,08/31-12/08	,110 0904	,	
C	,10713	,CSC	,430	,12	,1	,3.000	,Computer Networks	,TR	,03:30 pm-04:45 pm	,40	,40	,0	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,110 0904	,	
NR	,10714	,CSC	,430	,31	,2	,3.000	,Computer Networks	,TR	,03:30 pm-04:45 pm	,40	,27	,13	,15	,0	,15	,0	,0	,0	,Joseph Toufic Khalifeh (P)	,08/31-12/08	,204 0503	,	
C	,10715	,CSC	,431	,11	,1	,3.000	,Mobile Applications	,TR	,02:00 pm-03:15 pm	,40	,40	,0	,15	,15	,0	,0	,0	,0	,TBA	,08/31-12/08	,103 520	,	
NR	,10716	,CSC	,431	,31	,2	,3.000	,Mobile Applications	,MWF	,01:00 pm-01:50 pm	,40	,38	,2	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,204 0502	,	
C	,10717	,CSC	,435	,11	,1	,3.000	,Computer Security	,MWF	,03:00 pm-03:50 pm	,40	,40	,0	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,103 520	,	
C	,10718	,CSC	,443	,11	,1	,3.000	,Web Programming	,TR	,09:30 am-10:45 am	,40	,40	,0	,15	,10	,5	,0	,0	,0	,TBA	,08/31-12/08	,110 1003	,	
C	,10719	,CSC	,443	,12	,1	,3.000	,Web Programming	,TR	,12:30 pm-01:45 pm	,40	,40	,0	,15	,9	,6	,0	,0	,0	,TBA	,08/31-12/08	,103 503	,	
	,10720	,CSC	,443	,31	,2	,3.000	,Web Programming	,MWF	,03:00 pm-03:50 pm	,40	,40	,0	,15	,4	,11	,0	,0	,0	,TBA	,08/31-12/08	,206 0506	,	
C	,10721	,CSC	,447	,11	,1	,3.000	,Parallel Progg/Multic.&Cluster	,MWF	,10:00 am-10:50 am	,40	,40	,0	,15	,8	,7	,0	,0	,0	,TBA	,08/31-12/08	,103 520	,	
C	,10722	,CSC	,461	,11	,1	,3.000	,Introduction to Machine Learning	,TR	,03:30 pm-04:45 pm	,40	,40	,0	,15	,15	,0	,0	,0	,0	,TBA	,08/31-12/08	,113 1101	,	
NR	,12233	,CSC	,463	,31	,2	,3.000	,Introduction to Data Science	,TR	,12:30 pm-01:45 pm	,40	,29	,11	,0	,0	,0	,40	,39	,1	,Eileen-Marie Salim Hanna (P)	,08/31-12/08	,204 0503	,	
C	,10724	,CSC	,490	,11	,1	,3.000	,Software Engineering	,MWF	,12:00 pm-12:50 pm	,40	,40	,0	,15	,2	,13	,0	,0	,0	,Ramzi Ahmed Haraty (P)	,08/31-12/08	,103 520	,	
C	,10725	,CSC	,498H	,11	,1	,3.000	,Top.CSC: Data Mining	,MWF	,09:00 am-09:50 am	,40	,21	,19	,15	,0	,15	,40	,40	,0	,Joseph Sami Rebehmed (P)	,08/31-12/08	,110 1307	,	
NR	,10726	,CSC	,498HN	,31	,2	,3.000	,Topics: Network Science	,R	,05:00 pm-07:50 pm	,3	,1	,2	,15	,0	,15	,40	,7	,33	,Eileen-Marie Salim Hanna (P)	,08/31-12/08	,204 0504	,	
NR	,12216	,CSC	,498HO	,11	,1	,3.000	,Tp:Design& Analysis Algorithm	,M	,05:00 pm-07:29 pm	,8	,0	,8	,0	,0	,0	,35	,1	,34	,TBA	,08/31-12/08	,103 407	,	
C	,10727	,CSC	,599	,11	,1	,3.000	,Capstone Project	,	,TBA	,12	,12	,0	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
C	,10729	,CSC	,599	,13	,1	,3.000	,Capstone Project	,	,TBA	,12	,12	,0	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
C	,10730	,CSC	,599	,14	,1	,3.000	,Capstone Project	,	,TBA	,12	,12	,0	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10731	,CSC	,599	,31	,2	,3.000	,Capstone Project	,	,TBA	,12	,8	,4	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10732	,CSC	,599	,32	,2	,3.000	,Capstone Project	,	,TBA	,12	,0	,12	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10733	,CSC	,599H	,11	,1	,3.000	,Capstone Project	,	,TBA	,6	,2	,4	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10734	,CSC	,599H	,31	,2	,3.000	,Capstone Project	,	,TBA	,3	,1	,2	,15	,0	,15	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10735	,CSC	,600	,11	,1	,0.000	,Graduate Seminar	,	,TBA	,35	,0	,35	,0	,0	,0	,0	,0	,0	,Faisal Nabih Abu Khzam (P)	,08/31-12/08	,TBA	,	
NR	,10736	,CSC	,611	,11	,1	,3.000	,Design&Analysis of Algorithms	,M	,05:00 pm-07:29 pm	,35	,1	,34	,0	,0	,0	,35	,1	,34	,TBA	,08/31-12/08	,103 407	,MS-INE-Comp.Mod.Data.Anal.Req.	
NR	,10737	,CSC	,637	,11	,1	,3.000	,Pervas.Comp.&Wireless Network	,W	,05:00 pm-07:29 pm	,35	,2	,33	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,103 520	,	
NR	,10738	,CSC	,688E	,31	,2	,3.000	,Top.CSC:Algo for Phy VLSI Dsgn	,T	,05:00 pm-07:50 pm	,35	,0	,35	,15	,0	,15	,0	,0	,0	,Haidar Mohamad Harmanani (P)	,08/31-12/08	,204 0504	,MS-CSC-Hardware/Networks Req	
NR	,10739	,CSC	,688O	,31	,2	,3.000	,Topics: Network Science	,R	,05:00 pm-07:50 pm	,35	,2	,33	,15	,0	,15	,40	,7	,33	,Eileen-Marie Salim Hanna (P)	,08/31-12/08	,204 0504	,	
NR	,10740	,CSC	,698	,11	,1	,3.000	,Project	,	,TBA	,35	,0	,35	,0	,0	,0	,0	,0	,0	,TBA	,08/31-12/08	,TBA	,	
NR	,10741	,CSC	,699	,11A	,1	,6.000	,Thesis	,	,TBA	,3	,0	,3	,0	,0	,0	,0	,0	,0	,Faisal Nabih Abu Khzam (P)	,08/31-12/08	,TBA	,	
NR	,10742	,CSC	,699	,11B	,1	,6.000	,Thesis	,	,TBA	,3	,0	,3	,0	,0	,0	,0	,0	,0	,Ramzi Ahmed Haraty (P)	,08/31-12/08	,TBA	,	
NR	,10743	,CSC	,699	,11C	,1	,6.000	,Thesis	,	,TBA	,3	,0	,3	,0	,0	,0	,0	,0	,0	,Khaleel Wafiq Mershad (P)	,08/31-12/08	,TBA	,	
NR	,10744	,CSC	,699	,11D	,1	,6.000	,Thesis	,	,TBA	,3	,0	,3	,0	,0	,0	,0	,0	,0	,Nadine Fawaz Abbas (P)	,08/31-12/08	,TBA	,	
	
